starship_id,starship_name,starship_model,starship_manufacturer,starship_cost_in_credits,starship_length,starship_max_atmosphering_speed,starship_crew,starship_passengers,starship_cargo_capacity,starship_consumables,starship_hyperdrive_rating,starship_MGLT,starship_starship_class,starship_films_001,starship_films_002,starship_films_003,starship_created,starship_edited,starship_url,starship_pilots_001,starship_pilots_002,starship_pilots_003,starship_pilots_004
2,CR90 corvette,CR90 corvette,Corellian Engineering Corporation,3500000,150,950,30-165,600,3000000,1 year,2.0,60,corvette,http://swapi.dev/api/films/1/,http://swapi.dev/api/films/3/,http://swapi.dev/api/films/6/,2014-12-10T14:20:33.369000Z,2014-12-20T21:23:49.867000Z,http://swapi.dev/api/starships/2/,,,,
3,Star Destroyer,Imperial I-class Star Destroyer,Kuat Drive Yards,150000000,"1,600",975,"47,060",n/a,36000000,2 years,2.0,60,Star Destroyer,http://swapi.dev/api/films/1/,http://swapi.dev/api/films/2/,http://swapi.dev/api/films/3/,2014-12-10T15:08:19.848000Z,2014-12-20T21:23:49.870000Z,http://swapi.dev/api/starships/3/,,,,
5,Sentinel-class landing craft,Sentinel-class landing craft,"Sienar Fleet Systems, Cyngus Spaceworks",240000,38,1000,5,75,180000,1 month,1.0,70,landing craft,http://swapi.dev/api/films/1/,,,2014-12-10T15:48:00.586000Z,2014-12-20T21:23:49.873000Z,http://swapi.dev/api/starships/5/,,,,
9,Death Star,DS-1 Orbital Battle Station,"Imperial Department of Military Research, Sienar Fleet Systems",1E+12,120000,n/a,"342,953","843,342",1E+12,3 years,4.0,10,Deep Space Mobile Battlestation,http://swapi.dev/api/films/1/,,,2014-12-10T16:36:50.509000Z,2014-12-20T21:26:24.783000Z,http://swapi.dev/api/starships/9/,,,,
10,Millennium Falcon,YT-1300 light freighter,Corellian Engineering Corporation,100000,34.37,1050,4,6,100000,2 months,0.5,75,Light freighter,http://swapi.dev/api/films/1/,http://swapi.dev/api/films/2/,http://swapi.dev/api/films/3/,2014-12-10T16:59:45.094000Z,2014-12-20T21:23:49.880000Z,http://swapi.dev/api/starships/10/,http://swapi.dev/api/people/13/,http://swapi.dev/api/people/14/,http://swapi.dev/api/people/25/,http://swapi.dev/api/people/31/
11,Y-wing,BTL Y-wing,Koensayr Manufacturing,134999,14,1000km,2,0,110,1 week,1.0,80,assault starfighter,http://swapi.dev/api/films/1/,http://swapi.dev/api/films/2/,http://swapi.dev/api/films/3/,2014-12-12T11:00:39.817000Z,2014-12-20T21:23:49.883000Z,http://swapi.dev/api/starships/11/,,,,
12,X-wing,T-65 X-wing,Incom Corporation,149999,12.5,1050,1,0,110,1 week,1.0,100,Starfighter,http://swapi.dev/api/films/1/,http://swapi.dev/api/films/2/,http://swapi.dev/api/films/3/,2014-12-12T11:19:05.340000Z,2014-12-20T21:23:49.886000Z,http://swapi.dev/api/starships/12/,http://swapi.dev/api/people/1/,http://swapi.dev/api/people/9/,http://swapi.dev/api/people/18/,http://swapi.dev/api/people/19/
13,TIE Advanced x1,Twin Ion Engine Advanced x1,Sienar Fleet Systems,unknown,9.2,1200,1,0,150,5 days,1.0,105,Starfighter,http://swapi.dev/api/films/1/,,,2014-12-12T11:21:32.991000Z,2014-12-20T21:23:49.889000Z,http://swapi.dev/api/starships/13/,http://swapi.dev/api/people/4/,,,
15,Executor,Executor-class star dreadnought,"Kuat Drive Yards, Fondor Shipyards",1143350000,19000,n/a,"279,144",38000,250000000,6 years,2.0,40,Star dreadnought,http://swapi.dev/api/films/2/,http://swapi.dev/api/films/3/,,2014-12-15T12:31:42.547000Z,2014-12-20T21:23:49.893000Z,http://swapi.dev/api/starships/15/,,,,
17,Rebel transport,GR-75 medium transport,"Gallofree Yards, Inc.",unknown,90,650,6,90,19000000,6 months,4.0,20,Medium transport,http://swapi.dev/api/films/2/,http://swapi.dev/api/films/3/,,2014-12-15T12:34:52.264000Z,2014-12-20T21:23:49.895000Z,http://swapi.dev/api/starships/17/,,,,
